,county,num_pharmacies,num_pharmacies_mgp,num_missing,pct_missing,B01001_001E,pharmacies_per_10000,num_chains,pct_chains
0,ALBANY,73,61.0,12.0,8.955223880597014,306165.0,2.384335244067741,28,38.35616438356164
1,ALLEGANY,10,9.0,1.0,5.263157894736842,46304.0,2.1596406357982034,2,20.0
2,BRONX,477,415.0,62.0,6.950672645739911,1427056.0,3.342545772555527,58,12.159329140461216
3,BROOME,50,45.0,5.0,5.263157894736842,192042.0,2.603597129794524,21,42.0
4,CATTARAUGUS,18,17.0,1.0,2.857142857142857,76750.0,2.3452768729641695,6,33.33333333333333
5,CAYUGA,16,14.0,2.0,6.666666666666667,76958.0,2.079056108526729,3,18.75
6,CHAUTAUQUA,28,26.0,2.0,3.7037037037037033,127584.0,2.1946325558063706,13,46.42857142857143
7,CHEMUNG,20,17.0,3.0,8.108108108108109,84115.0,2.377697200261547,8,40.0
8,CHENANGO,10,8.0,2.0,11.11111111111111,47527.0,2.1040671618238056,2,20.0
9,CLINTON,18,17.0,1.0,2.857142857142857,80320.0,2.2410358565737054,3,16.666666666666664
10,COLUMBIA,11,10.0,1.0,4.761904761904762,60016.0,1.8328445747800586,5,45.45454545454545
11,CORTLAND,9,8.0,1.0,5.88235294117647,47618.0,1.89004158091478,4,44.44444444444444
12,DELAWARE,12,10.0,2.0,9.090909090909092,44676.0,2.686005909213,6,50.0
13,DUTCHESS,59,55.0,4.0,3.508771929824561,293524.0,2.0100570992491247,27,45.76271186440678
14,ERIE,237,200.0,37.0,8.466819221967963,918873.0,2.5792465335253074,100,42.19409282700422
15,ESSEX,11,9.0,2.0,10.0,37281.0,2.9505646307770714,2,18.181818181818183
16,FRANKLIN,12,10.0,2.0,9.090909090909092,50389.0,2.381472146698684,2,16.666666666666664
17,FULTON,15,11.0,4.0,15.384615384615385,53452.0,2.806256080221507,5,33.33333333333333
18,GENESEE,12,12.0,0.0,0.0,57554.0,2.0849984362511726,6,50.0
19,GREENE,12,11.0,1.0,4.3478260869565215,47335.0,2.535122002746382,3,25.0
20,HERKIMER,11,10.0,1.0,4.761904761904762,61738.0,1.7817227639379312,3,27.27272727272727
21,JEFFERSON,22,17.0,5.0,12.82051282051282,111454.0,1.9739085183124878,4,18.181818181818183
22,KINGS,884,784.0,100.0,5.995203836930456,2576771.0,3.4306502207607896,112,12.669683257918551
23,LEWIS,4,3.0,1.0,14.285714285714285,26456.0,1.5119443604475356,0,0.0
24,LIVINGSTON,12,11.0,1.0,4.3478260869565215,63218.0,1.8981935524692335,4,33.33333333333333
25,MADISON,11,12.0,-1.0,-4.3478260869565215,70990.0,1.5495140160585998,4,36.36363636363637
26,MONROE,139,127.0,12.0,4.511278195488721,743084.0,1.8705825990063034,56,40.28776978417266
27,MONTGOMERY,13,13.0,0.0,0.0,49294.0,2.6372377977035746,4,30.76923076923077
28,NASSAU,345,293.0,52.0,8.150470219435736,1355683.0,2.5448427102796156,121,35.07246376811594
29,NEW YORK,640,538.0,102.0,8.65874363327674,1629153.0,3.928421701338057,182,28.4375
30,NIAGARA,51,47.0,4.0,4.081632653061225,210145.0,2.4268957148635466,25,49.01960784313725
31,ONEIDA,56,50.0,6.0,5.660377358490567,229074.0,2.4446248810428073,20,35.714285714285715
32,ONONDAGA,102,93.0,9.0,4.615384615384616,461591.0,2.2097484569673154,34,33.33333333333333
33,ONTARIO,23,20.0,3.0,6.976744186046512,109774.0,2.0952138029041487,8,34.78260869565217
34,ORANGE,82,75.0,7.0,4.45859872611465,382077.0,2.1461642548491535,28,34.146341463414636
35,ORLEANS,9,9.0,0.0,0.0,40624.0,2.2154391492713668,3,33.33333333333333
36,OSWEGO,19,18.0,1.0,2.7027027027027026,117630.0,1.6152342089602991,4,21.052631578947366
37,OTSEGO,15,14.0,1.0,3.4482758620689653,59593.0,2.5170741530045477,5,33.33333333333333
38,PUTNAM,16,17.0,-1.0,-3.0303030303030303,98714.0,1.6208440545414025,6,37.5
39,QUEENS,846,687.0,159.0,10.371819960861057,2270976.0,3.7252705444707472,128,15.130023640661939
40,RENSSELAER,32,30.0,2.0,3.225806451612903,159013.0,2.012414079352003,17,53.125
41,RICHMOND,103,89.0,14.0,7.291666666666667,475596.0,2.165703664454705,31,30.097087378640776
42,ROCKLAND,61,56.0,5.0,4.273504273504273,325213.0,1.8756937760790622,19,31.147540983606557
43,SARATOGA,41,38.0,3.0,3.79746835443038,229313.0,1.7879492222420883,21,51.21951219512195
44,SCHENECTADY,32,29.0,3.0,4.918032786885246,155086.0,2.063371290767703,14,43.75
45,SCHOHARIE,6,5.0,1.0,9.090909090909092,31189.0,1.9237551700920197,2,33.33333333333333
46,SCHUYLER,4,4.0,0.0,0.0,17845.0,2.241524236480807,1,25.0
47,SENECA,5,5.0,0.0,0.0,34295.0,1.457938474996355,1,20.0
48,STEUBEN,20,18.0,2.0,5.263157894736842,95843.0,2.0867460325741054,6,30.0
49,SAINT LAWRENCE,29,20.0,9.0,18.367346938775512,108352.0,2.6764619019492026,5,17.24137931034483
50,SUFFOLK,301,263.0,38.0,6.73758865248227,1481364.0,2.0319111305526527,131,43.521594684385384
