,majority_race,num_pharmacies,unadjusted_mean,adjusted_mean
0,all,2327,1.080790717662226,0.3291738484786205
1,white,864,1.0856481481481481,0.32241415354748704
2,black,488,0.6987704918032787,0.21204735436774952
3,hispanic,416,1.3677884615384615,0.35140913758769765
5,asian,140,1.9285714285714286,0.5841886823778625
6,integrated,685,0.910948905109489,0.3369754112160815
